phish_id,A
3098005,202.123.27.136
3098006,202.123.27.136
3098431,202.123.27.136
3126075,202.123.27.136
3524918,202.123.27.136
4038689,216.69.141.2
4603166,217.160.0.60
4760224,154.27.68.88
4864634,216.239.32.21
4864634,216.239.34.21
4864634,216.239.36.21
4864634,216.239.38.21
4934518,178.254.50.107
5012972,104.17.157.14
5012972,104.17.158.14
5012972,104.17.159.14
5012972,104.17.160.14
5012972,104.17.161.14
5049760,104.17.157.14
5049760,104.17.158.14
5049760,104.17.159.14
5049760,104.17.160.14
5049760,104.17.161.14
5110544,192.145.232.220
5121017,192.185.216.226
5163494,193.238.27.26
5167814,64.90.170.227
5215352,66.199.174.29
5243565,52.14.64.12
5251227,104.17.157.14
5251227,104.17.158.14
5251227,104.17.159.14
5251227,104.17.160.14
5251227,104.17.161.14
5270040,195.191.25.158
5302346,142.250.66.46
5340448,103.4.206.86
5340449,103.4.206.86
5351807,142.250.66.46
5360262,142.250.66.46
5360271,142.250.66.46
5360326,142.250.66.46
5360339,142.250.66.46
5372949,104.17.157.14
5372949,104.17.158.14
5372949,104.17.159.14
5372949,104.17.160.14
5372949,104.17.161.14
5459410,104.17.157.14
5459410,104.17.158.14
5459410,104.17.159.14
5459410,104.17.160.14
5459410,104.17.161.14
5460639,104.17.157.14
5460639,104.17.158.14
5460639,104.17.159.14
5460639,104.17.160.14
5460639,104.17.161.14
5468512,104.17.157.14
5468512,104.17.158.14
5468512,104.17.159.14
5468512,104.17.160.14
5468512,104.17.161.14
5477880,104.17.157.14
5477880,104.17.158.14
5477880,104.17.159.14
5477880,104.17.160.14
5477880,104.17.161.14
5536001,104.17.157.14
5536001,104.17.158.14
5536001,104.17.159.14
5536001,104.17.160.14
5536001,104.17.161.14
5683397,108.178.52.27
5695649,74.220.215.57
5695650,74.220.215.57
5740916,104.17.157.14
5740916,104.17.158.14
5740916,104.17.159.14
5740916,104.17.160.14
5740916,104.17.161.14
5740917,104.17.157.14
5740917,104.17.158.14
5740917,104.17.159.14
5740917,104.17.160.14
5740917,104.17.161.14
5740919,104.17.157.14
5740919,104.17.158.14
5740919,104.17.159.14
5740919,104.17.160.14
5740919,104.17.161.14
5740920,104.17.157.14
5740920,104.17.158.14
5740920,104.17.159.14
5740920,104.17.160.14
5740920,104.17.161.14
5740921,104.17.157.14
5740921,104.17.158.14
5740921,104.17.159.14
5740921,104.17.160.14
5740921,104.17.161.14
5801684,104.21.4.110
5801684,172.67.132.3
5801712,104.21.14.33
5801712,172.67.157.174
5801730,104.21.23.9
5801730,172.67.208.67
5803413,104.17.157.14
5803413,104.17.158.14
5803413,104.17.159.14
5803413,104.17.160.14
5803413,104.17.161.14
5838215,209.235.144.9
5860758,104.21.4.110
5860758,172.67.132.3
5874533,204.101.148.11
5900849,103.4.206.86
5929105,130.211.204.68
5947736,185.50.25.23
5951626,172.217.160.83
5952974,103.104.232.145
5971908,104.21.16.190
5971908,172.67.215.142
