phish_id,CNAME
5243565,holidayinnboston.com.
5951626,ghs.googlehosted.com.
6132624,hotelelb-1333073881.ap-southeast-1.elb.amazonaws.com.
6191332,19507-ipv4.farm.prod.aa-rt.sharepoint.com.dual-spo-0004.spo-msedge.net.
6191332,19507-ipv4e.farm.prod.aa-rt.sharepoint.com.
6191332,19507-ipv4e.farm.prod.sharepointonline.com.akadns.net.
6191332,903-ipv4e.clump.prod.aa-rt.sharepoint.com.
6191332,dual-spo-0004.spo-msedge.net.
6191332,redlinerecruitment353.sharepoint.com.
6210932,20103-ipv4.farm.prod.aa-rt.sharepoint.com.dual-spo-0004.spo-msedge.net.
6210932,20103-ipv4e.farm.prod.aa-rt.sharepoint.com.
6210932,20103-ipv4e.farm.prod.sharepointonline.com.akadns.net.
6210932,2640-ipv4e.clump.prod.aa-rt.sharepoint.com.
6210932,auduboninstitute.sharepoint.com.
6210932,dual-spo-0004.spo-msedge.net.
6262126,b-0039.b-msedge.net.
6262126,forms.office.com.b-0039.b-msedge.net.
6289329,192154-ipv4.farm.dprodmgd105.aa-rt.sharepoint.com.dual-spo-0004.spo-msedge.net.
6289329,192154-ipv4e.farm.dprodmgd105.aa-rt.sharepoint.com.
6289329,192154-ipv4e.farm.dprodmgd105.sharepointonline.com.akadns.net.
6289329,938-ipv4e.clump.dprodmgd105.aa-rt.sharepoint.com.
6289329,dual-spo-0004.spo-msedge.net.
6346505,geo1.presslabs.net.
6348346,191779-ipv4.farm.dprodmgd105.aa-rt.sharepoint.com.dual-spo-0004.spo-msedge.net.
6348346,191779-ipv4e.farm.dprodmgd105.aa-rt.sharepoint.com.
6348346,191779-ipv4e.farm.dprodmgd105.sharepointonline.com.akadns.net.
6348346,280-ipv4e.clump.dprodmgd105.aa-rt.sharepoint.com.
6348346,dual-spo-0004.spo-msedge.net.
6348346,k12inc.sharepoint.com.
6372001,ghs.googlehosted.com.
6382517,netciti.id.
6406601,futbolfinanciero.com.pe.
6439006,logex.com.tr.
6465525,ghs.googlehosted.com.
6550658,1348-ipv4e.clump.dprodmgd104.aa-rt.sharepoint.com.
6550658,187517-ipv4.farm.dprodmgd104.aa-rt.sharepoint.com.dual-spo-0004.spo-msedge.net.
6550658,187517-ipv4e.farm.dprodmgd104.aa-rt.sharepoint.com.
6550658,187517-ipv4e.farm.dprodmgd104.sharepointonline.com.akadns.net.
6550658,dual-spo-0004.spo-msedge.net.
6550658,qualitasc.sharepoint.com.
6550710,1348-ipv4e.clump.dprodmgd104.aa-rt.sharepoint.com.
6550710,187517-ipv4.farm.dprodmgd104.aa-rt.sharepoint.com.dual-spo-0004.spo-msedge.net.
6550710,187517-ipv4e.farm.dprodmgd104.aa-rt.sharepoint.com.
6550710,187517-ipv4e.farm.dprodmgd104.sharepointonline.com.akadns.net.
6550710,dual-spo-0004.spo-msedge.net.
6550710,qualitasc.sharepoint.com.
6553324,1348-ipv4e.clump.dprodmgd104.aa-rt.sharepoint.com.
6553324,187517-ipv4.farm.dprodmgd104.aa-rt.sharepoint.com.dual-spo-0004.spo-msedge.net.
6553324,187517-ipv4e.farm.dprodmgd104.aa-rt.sharepoint.com.
6553324,187517-ipv4e.farm.dprodmgd104.sharepointonline.com.akadns.net.
6553324,dual-spo-0004.spo-msedge.net.
6553324,qualitasc.sharepoint.com.
6584876,ghs.googlehosted.com.
6588178,ghs.googlehosted.com.
6658284,golfballsonline.com.
6721839,web.mutu1.cloud.coreoz.com.
6721839,web.mutu2.cloud.coreoz.com.
6744223,pharmaglobiz.com.
6744224,pharmaglobiz.com.
6744999,colorfastinv.com.
6771128,ghs.googlehosted.com.
6771902,gcp.media-router.wixstatic.com.
6771902,media-router.wixstatic.com.
6783979,gcp.media-router.wixstatic.com.
6783979,media-router.wixstatic.com.
6798187,gcp.media-router.wixstatic.com.
6798187,media-router.wixstatic.com.
6819204,gcp.media-router.wixstatic.com.
6819204,media-router.wixstatic.com.
6822988,api-8b-io-957469486.us-east-1.elb.amazonaws.com.
6825660,gcp.media-router.wixstatic.com.
6825660,media-router.wixstatic.com.
6828772,gcp.media-router.wixstatic.com.
6828772,media-router.wixstatic.com.
6830639,gcp.media-router.wixstatic.com.
6830639,media-router.wixstatic.com.
6831033,gcp.media-router.wixstatic.com.
6831033,media-router.wixstatic.com.
6848207,gcp.media-router.wixstatic.com.
6848207,media-router.wixstatic.com.
6849926,tbit.vn.
6952520,ghs.googlehosted.com.
6990464,gcp.media-router.wixstatic.com.
6990464,media-router.wixstatic.com.
7087062,gcp.media-router.wixstatic.com.
7087062,media-router.wixstatic.com.
7102043,gcp.media-router.wixstatic.com.
7102043,media-router.wixstatic.com.
7103142,ims-fe.com.
7103143,ims-fe.com.
7121849,gcp.media-router.wixstatic.com.
7121849,media-router.wixstatic.com.
7126597,gcp.media-router.wixstatic.com.
7126597,media-router.wixstatic.com.
7126607,gcp.media-router.wixstatic.com.
7126607,media-router.wixstatic.com.
7127808,zyrosite.com.cdn.cloudflare.net.
7130705,gcp.media-router.wixstatic.com.
7130705,media-router.wixstatic.com.
7130706,gcp.media-router.wixstatic.com.
7130706,media-router.wixstatic.com.
7132178,gcp.media-router.wixstatic.com.
7132178,media-router.wixstatic.com.
7137294,gcp.media-router.wixstatic.com.
7137294,media-router.wixstatic.com.
7137296,gcp.media-router.wixstatic.com.
7137296,media-router.wixstatic.com.
7137320,gcp.media-router.wixstatic.com.
7137320,media-router.wixstatic.com.
7137321,gcp.media-router.wixstatic.com.
7137321,media-router.wixstatic.com.
7137388,gcp.media-router.wixstatic.com.
7137388,media-router.wixstatic.com.
7155618,gcp.media-router.wixstatic.com.
7155618,media-router.wixstatic.com.
7157938,waws-prod-dm1-061.cloudapp.net.
7157938,waws-prod-dm1-061.sip.azurewebsites.windows.net.
7164709,www3.l.google.com.
7167419,red.echostar.pl.
7170337,gcp.media-router.wixstatic.com.
7170337,media-router.wixstatic.com.
7180462,gcp.media-router.wixstatic.com.
7180462,media-router.wixstatic.com.
7194998,azurestaticapps.trafficmanager.net.
7194998,msha-hk1-0.staticsites-prod-eastasia.p.azurewebsites.net.
7194998,waws-prod-hk1-0a7ad652.cloudapp.net.
7194998,waws-prod-hk1-0a7ad652.sip.p.azurewebsites.windows.net.
7197064,gcp.media-router.wixstatic.com.
7197064,media-router.wixstatic.com.
7198439,eschoolzones.com.
7204271,surveys.questionpro.com.
7205959,dual.part-0011.t-0009.t-msedge.net.
7205959,hmcts-aat.azurefd.net.
7205959,part-0011.t-0009.t-msedge.net.
7205959,star-azurefd-prod.trafficmanager.net.
7216712,www3.l.google.com.
7218156,t.ssl.global.fastly.net.
7223205,gcp.media-router.wixstatic.com.
7223205,media-router.wixstatic.com.
7223610,red.echostar.pl.
7226003,www3.l.google.com.
7226260,www3.l.google.com.
7226976,gccm-1-nginxnode-main.usgovtrafficmanager.net.
7226976,gccm-1-pusgv-nginxnode-lb1.usgovvirginia.cloudapp.usgovcloudapi.net.
7227058,6f37f587-username.wix.com.
7227058,td-username-ae1-190-141.wix.com.
7227058,username.wix.com.
7227074,6f37f587-username.wix.com.
7227074,td-username-ae1-190-141.wix.com.
7227074,username.wix.com.
7229378,red.echostar.pl.
7229839,gcp.media-router.wixstatic.com.
7229839,media-router.wixstatic.com.
7229840,gcp.media-router.wixstatic.com.
7229840,media-router.wixstatic.com.
7232115,gcp.media-router.wixstatic.com.
7232115,media-router.wixstatic.com.
7234279,hcnprdvz.ec.azureedge.net.
7234279,scdn1.wpc.63052.lambdacdn.net.
7234279,sni1gl.wpc.lambdacdn.net.
7236864,175047-ipv4.farm.dprodmgd100.aa-rt.sharepoint-mil.us.
7236864,406-ipv4.clump.dprodmgd100.aa-rt.sharepoint-mil.us.
7237053,175047-ipv4.farm.dprodmgd100.aa-rt.sharepoint-mil.us.
7237053,406-ipv4.clump.dprodmgd100.aa-rt.sharepoint-mil.us.
7239479,k8s.truehost.cloud.
7247960,gcp.media-router.wixstatic.com.
7247960,media-router.wixstatic.com.
7250383,www3.l.google.com.
7256027,gcp.media-router.wixstatic.com.
7256027,media-router.wixstatic.com.
7257130,a-0016.a-msedge.net.
7257130,cc-bingj-com.a-0016.a-msedge.net.
7258027,a-0016.a-msedge.net.
7258027,cc-bingj-com.a-0016.a-msedge.net.
7258635,a-0016.a-msedge.net.
7258635,cc-bingj-com.a-0016.a-msedge.net.
7262579,gcp.media-router.wixstatic.com.
7262579,media-router.wixstatic.com.
7264139,gcp.media-router.wixstatic.com.
7264139,media-router.wixstatic.com.
7266720,red.echostar.pl.
7266890,gcp.media-router.wixstatic.com.
7266890,media-router.wixstatic.com.
7266902,gcp.media-router.wixstatic.com.
7266902,media-router.wixstatic.com.
7269109,red.echostar.pl.
7275366,lb-gw-maxnetwork-1f63e34712ea9966.elb.ap-southeast-2.amazonaws.com.
7275366,lb-gw.maxsolutions.skyfencenet.com.
7278161,red.echostar.pl.
7278823,red.echostar.pl.
7286271,saranlar.com.
7287411,ezssausage.com.
7287498,ezssausage.com.
7292056,e19.dscx.akamaiedge.net.
7294045,fedlxpress.com.
7295753,azurestaticapps.trafficmanager.net.
7295753,msha-hk1-0.staticsites-prod-eastasia.p.azurewebsites.net.
7295753,waws-prod-hk1-0a7ad652.cloudapp.net.
7295753,waws-prod-hk1-0a7ad652.sip.p.azurewebsites.windows.net.
7299724,qacust1-gw-lb-c1a85f47d87168af.elb.us-east-2.amazonaws.com.
7302420,etasarla.com.
7302421,etasarla.com.
7303485,krishnatheeram.co.in.
7303542,krishnatheeram.co.in.
7305143,e19.dscx.akamaiedge.net.
7305895,krishnatheeram.co.in.
7305926,75527.communities.salesforce.cdn.edgekey.net.
7305926,e27392.dsca.akamaiedge.net.
7305926,go.simplify.co.nz.00d28000000vc7keag.live.siteforce.com.
7305995,krishnatheeram.co.in.
7310506,gcp.media-router.wixstatic.com.
7310506,media-router.wixstatic.com.
7312759,ghs.googlehosted.com.
7313425,objectstorage.us-phoenix-1.oci.oraclecloud.com.
7313427,bthak.com.
7313428,bthak.com.
7314929,storrea-blog.domains.qloaked.com.
7314931,storrea-blog.domains.qloaked.com.
7314985,storrea-blog.domains.qloaked.com.
7315769,bn-acct.com.
7315770,bn-acct.com.
7317035,75546.communities.salesforce.cdn.edgekey.net.
7317035,content.warakirri.com.au.00d2w000008vfoeea0.live.siteforce.com.
7317035,e27836.dsca.akamaiedge.net.
7317397,lb-omni-prod-dc2-05.plusoftomni.com.br.
7318973,lb-sa-public-tcp-a0e891bcb0ce2664.elb.ap-northeast-1.amazonaws.com.
7318973,sni.syncanswer.jp.
7322571,75554.communities.salesforce.cdn.edgekey.net.
7322571,content.rmhc.org.nz.00d5g000004ztineaa.live.siteforce.com.
7322571,e15531.dsca.akamaiedge.net.
7323962,masswalker.com.
7324028,75554.communities.salesforce.cdn.edgekey.net.
7324028,content.av1.com.au.00d5g000004owureac.live.siteforce.com.
7324028,e15531.dsca.akamaiedge.net.
7325200,selcdn.ru.
7326519,t.ssl.global.fastly.net.
7327170,swissibisbank.com.
7329679,waws-prod-dm1-041.cloudapp.net.
7329679,waws-prod-dm1-041.sip.azurewebsites.windows.net.
7329721,selcdn.ru.
7332177,ab7553b08e5300472.temporary.link.
7332178,ab7553b08e5300472.temporary.link.
7332335,reglic.in.
7335088,tenhoquarto.com.
7335089,tenhoquarto.com.
7335167,cdn.sitemakerlive.com.
7335167,cdn.sitemakerlive.com.cdn.cloudflare.net.
7335490,queroquarto.com.br.
7335491,tenhoquarto.com.br.
7335492,tenhoquarto.com.br.
7335493,tenhoquarto.com.
7335494,tenhoquarto.com.
7335937,cdn.sitemakerlive.com.
7335937,cdn.sitemakerlive.com.cdn.cloudflare.net.
7338198,friendsofnechockey.com.
7338405,selcdn.ru.
7339606,universidadsanjuan.ac.
7342306,tenhoquarto.com.
7342307,tenhoquarto.com.
7342308,tenhoquarto.com.
7342309,tenhoquarto.com.
7342319,reglic.in.
7343423,wireless4sdg.org.zw.
7343475,wireless4sdg.org.zw.
7345128,prod.adobe-prod-view.map.fastly.net.
7345184,website.yandexcloud.net.
7345665,goshenmontessorischools.com.
7345666,goshenmontessorischools.com.
7345730,tenhoquarto.com.br.
7345731,tenhoquarto.com.br.
7346152,wireless4sdg.org.zw.
7346940,ekogeby.xyz.
7347603,website.yandexcloud.net.
7347619,mestedfung.digital.
7347957,egood.ro.
7347988,corvilla.id.
7347989,corvilla.id.
