phish_id,target,url,creation_date,expiration_date,registrant_country,html,icon,picture
3098005,Google,http://albel.intnet.mu/File/,,,,,,picture/3098005_Google.png
3098006,Google,http://albel.intnet.mu/File/file_doc.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID&userid_JeHJOXK0IDw_JOXK0IDD&userid=,,,,,,picture/3098006_Google.png
3098431,Google,http://albel.intnet.mu/File/download_doc.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID&amp;userid_JeHJOXK0IDw_JOXK0IDD&amp;userid=,,,,,,picture/3098431_Google.png
3126075,Google,http://albel.intnet.mu/File/file_doc.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID,,,,,,picture/3126075_Google.png
3524918,Google,http://albel.intnet.mu/File/download_doc.php,,,,,,picture/3524918_Google.png
4038689,PayPal,http://cache.nebula.phx3.secureserver.net/obj/QkMyMThBNjg0RjJCRjg2Njc3OEM6YWY1ZDcwYjhhODdhZmQwZDgyZTdkOTUyMDlkY2YzODY6Ojo6/,1998/3/30 5:00,2022/11/1 11:59,US,,,picture/4038689_PayPal.png
4603166,Deutsche Telekom,http://web-rechungbetrag-domain.de/WWW.T-ONLINE.DE-TELEKOM-2016/login.idm.telekom.com/toid/mein-suport.html,,,,,,picture/4603166_Deutsche Telekom.png
4760224,Google,http://juanthradio.com/Script/DOC/,2014/6/30 22:41,2022/6/30 22:41,DO,,,picture/4760224_Google.png
4864634,"eBay, Inc.",http://customer-ebay.com/survey/cleartext/sondaj/commentname/ds434sf42ss3.php,2015/3/23 1:10,2022/3/23 1:10,US,"html/4864634_eBay, Inc..html",,"picture/4864634_eBay, Inc..png"
4934518,Capitec Bank,http://justsayingbro.com/ncb/rcn.imse/rnr/abur.php,2013/1/30 13:53,2022/1/30 13:53,DE,,,picture/4934518_Capitec Bank.png
5012972,Orange,http://sertyxese.myfreesites.net/,2015/3/23 11:28,2022/3/23 11:28,US,,icon/5012972_Orange.ico,picture/5012972_Orange.png
5049760,Swisscom,http://swisscom.myfreesites.net/,2015/3/23 11:28,2022/3/23 11:28,US,,icon/5049760_Swisscom.ico,picture/5049760_Swisscom.png
5110544,PayPal,http://creativeingredient.com/wp-includes/images/verify/update/y.html,2010/5/26 17:33,2022/5/26 17:33,US,html/5110544_PayPal.html,,picture/5110544_PayPal.png
5121017,Google,http://algotextil.com.br/,2012/6/28 0:00,2022/6/28 0:00,,,,picture/5121017_Google.png
5163494,Yahoo,http://hahdaeupdate.es.tl/,,,,,icon/5163494_Yahoo.ico,picture/5163494_Yahoo.png
5167814,U.S. Postal Service,http://www.mxrr.com/?p=newcontact&amp;e=abuse%4010acrewood.com&amp;j=112968,2005/2/11 17:12,2022/2/11 17:12,US,,,picture/5167814_U.S. Postal Service.png
5215352,Amazon.com,http://mckennittfamily.com/AmazonSignIn.html,,,,,,picture/5215352_Amazon.com.png
